perturbation,program,n_t,n_c,mean_T_treat,mean_T_ctrl,diff,mw_p,welch_p,mw_fdr,invsize_p,invsize_fdr
lrrk2,Synaptic_signaling,28,50,-0.03642751401805234,0.00795684161028996,-0.044384355628342295,0.20941961730239655,0.14649344557583283,0.5235490432559914,0.20736516417556905,0.6334617009489982
lrrk2,Calcium_homeostasis,28,50,-0.04386040087915758,-0.019433337735317982,-0.0244270631438396,0.34584755422356195,0.4244674866473463,0.6916951084471239,0.3172895096617615,0.634579019323523
lrrk2,Neuroinflammation,28,50,-0.0001304349841039052,-0.0011330259964226009,0.0010025910123186957,0.8717370248036507,0.8100388402379167,0.9586998221141863,0.7622436573389909,0.8023617445673589
lrrk2,Interferon_response,28,50,0.0009102241476954628,0.0011718472515566262,-0.0002616231038611634,0.9626142044871561,0.9745868558436811,0.9626142044871561,0.8395864542736282,0.8395864542736282
lrrk2,Microglial_activation,28,50,-0.006354431747813906,0.016268768492912394,-0.0226232002407263,0.5988724758573312,0.16942323763801434,0.8389812214267245,0.2241439270460901,0.6334617009489982
lrrk2,Astrocyte_reactivity,28,50,-0.009249193663188363,0.023317272412444242,-0.03256646607563261,0.10984271209955009,0.022496709053647333,0.5235490432559914,0.01967266133403679,0.39345322668073573
lrrk2,ECM,28,50,-0.0028603323279097295,0.0038627700951243695,-0.006723102423034099,0.5285731984444029,0.5055008479968055,0.8389812214267245,0.4384356018356572,0.7610271153332591
lrrk2,Endolysosomal,28,50,-0.016864197563719686,0.02581815011524727,-0.04268234767896696,0.1075470887913838,0.044717231369647656,0.5235490432559914,0.07616123529688222,0.5614482471284296
lrrk2,Mitochondrial_stress,28,50,-0.021148758992494604,0.021510149320428856,-0.04265890831292346,0.19469034128291574,0.12472408817140637,0.5235490432559914,0.11228964942568591,0.5614482471284296
lrrk2,LRP1_signaling,28,50,0.003973866061091841,0.045858754944662905,-0.041884888883571066,0.27180357838478086,0.29754660475762756,0.6040079519661797,0.2850577654270492,0.6334617009489982
Cfap410,Synaptic_signaling,51,50,-0.008837395024187995,0.007815327659996742,-0.01665272268418474,0.9107648310084769,0.6072301307303397,0.9586998221141863,0.5774565725585918,0.7610271153332591
Cfap410,Calcium_homeostasis,51,50,-0.0013919894918569306,-0.03218307925078793,0.030791089758931,0.20041886203480064,0.20934433843198977,0.5235490432559914,0.2634556831971785,0.6334617009489982
Cfap410,Neuroinflammation,51,50,0.00047197013673868515,-0.0016077432060719766,0.0020797133428106618,0.6711849771413796,0.535046314944446,0.8389812214267245,0.6088216922666073,0.7610271153332591
Cfap410,Interferon_response,51,50,-0.001642432834474497,0.001700472261848115,-0.003342905096322612,0.6320374422475332,0.623158299482949,0.8389812214267245,0.4807453332466748,0.7610271153332591
Cfap410,Microglial_activation,51,50,0.014600351009905633,0.0032028600732453383,0.011397490936660294,0.1451273157372831,0.49504261357040874,0.5235490432559914,0.5568820456045116,0.7610271153332591
Cfap410,Astrocyte_reactivity,51,50,0.01670060055085326,0.010002404409510682,0.0066981961413425765,0.5568418976500216,0.6858686804133721,0.8389812214267245,0.7055269014020434,0.7839187793356038
Cfap410,ECM,51,50,-0.006756762727902141,0.005483385180486418,-0.012240147908388559,0.10235092713169225,0.17500758461229235,0.5235490432559914,0.17324108839380803,0.6334617009489982
Cfap410,Endolysosomal,51,50,-0.006161756509091184,0.028636886166950065,-0.03479864267604125,0.10378610671777327,0.11594820149240184,0.5235490432559914,0.08912139879840644,0.5614482471284296
Cfap410,Mitochondrial_stress,51,50,-0.003210260406885953,0.01236820740133001,-0.015578467808215963,0.8252858720445969,0.5624501381954428,0.9586998221141863,0.5810849021678632,0.7610271153332591
Cfap410,LRP1_signaling,51,50,0.01691180416210977,0.03214524861018804,-0.015233444448078271,0.5568418976500216,0.6121453549280857,0.8389812214267245,0.6761509518318466,0.7839187793356038
