spec,perturbation,program,wild_p
total (treat+depth),lrrk2,Synaptic_signaling,0.9155
total (treat+depth),lrrk2,Calcium_homeostasis,0.2625
total (treat+depth),lrrk2,Neuroinflammation,0.893
total (treat+depth),lrrk2,Interferon_response,0.9275
total (treat+depth),lrrk2,Microglial_activation,0.423
total (treat+depth),lrrk2,Astrocyte_reactivity,0.145
total (treat+depth),lrrk2,ECM,0.4305
total (treat+depth),lrrk2,Endolysosomal,0.249
total (treat+depth),lrrk2,Mitochondrial_stress,0.2135
total (treat+depth),lrrk2,LRP1_signaling,0.448
total (treat+depth),Cfap410,Synaptic_signaling,0.515
total (treat+depth),Cfap410,Calcium_homeostasis,0.8715
total (treat+depth),Cfap410,Neuroinflammation,0.681
total (treat+depth),Cfap410,Interferon_response,0.606
total (treat+depth),Cfap410,Microglial_activation,0.2875
total (treat+depth),Cfap410,Astrocyte_reactivity,0.6045
total (treat+depth),Cfap410,ECM,0.8155
total (treat+depth),Cfap410,Endolysosomal,0.793
total (treat+depth),Cfap410,Mitochondrial_stress,0.7145
total (treat+depth),Cfap410,LRP1_signaling,0.672
within-type (type+niche+depth),lrrk2,Synaptic_signaling,0.4935
within-type (type+niche+depth),lrrk2,Calcium_homeostasis,0.1335
within-type (type+niche+depth),lrrk2,Neuroinflammation,0.961
within-type (type+niche+depth),lrrk2,Interferon_response,0.668
within-type (type+niche+depth),lrrk2,Microglial_activation,0.2935
within-type (type+niche+depth),lrrk2,Astrocyte_reactivity,0.1225
within-type (type+niche+depth),lrrk2,ECM,0.4085
within-type (type+niche+depth),lrrk2,Endolysosomal,0.5615
within-type (type+niche+depth),lrrk2,Mitochondrial_stress,0.1415
within-type (type+niche+depth),lrrk2,LRP1_signaling,0.3565
within-type (type+niche+depth),Cfap410,Synaptic_signaling,0.6605
within-type (type+niche+depth),Cfap410,Calcium_homeostasis,0.9725
within-type (type+niche+depth),Cfap410,Neuroinflammation,0.821
within-type (type+niche+depth),Cfap410,Interferon_response,0.9125
within-type (type+niche+depth),Cfap410,Microglial_activation,0.2115
within-type (type+niche+depth),Cfap410,Astrocyte_reactivity,0.4545
within-type (type+niche+depth),Cfap410,ECM,0.1665
within-type (type+niche+depth),Cfap410,Endolysosomal,0.605
within-type (type+niche+depth),Cfap410,Mitochondrial_stress,0.697
within-type (type+niche+depth),Cfap410,LRP1_signaling,0.6025
no-niche (type+depth),lrrk2,Synaptic_signaling,0.741
no-niche (type+depth),lrrk2,Calcium_homeostasis,0.2705
no-niche (type+depth),lrrk2,Neuroinflammation,0.588
no-niche (type+depth),lrrk2,Interferon_response,0.799
no-niche (type+depth),lrrk2,Microglial_activation,0.4825
no-niche (type+depth),lrrk2,Astrocyte_reactivity,0.107
no-niche (type+depth),lrrk2,ECM,0.581
no-niche (type+depth),lrrk2,Endolysosomal,0.359
no-niche (type+depth),lrrk2,Mitochondrial_stress,0.155
no-niche (type+depth),lrrk2,LRP1_signaling,0.521
no-niche (type+depth),Cfap410,Synaptic_signaling,0.7555
no-niche (type+depth),Cfap410,Calcium_homeostasis,0.997
no-niche (type+depth),Cfap410,Neuroinflammation,0.929
no-niche (type+depth),Cfap410,Interferon_response,0.7585
no-niche (type+depth),Cfap410,Microglial_activation,0.3085
no-niche (type+depth),Cfap410,Astrocyte_reactivity,0.753
no-niche (type+depth),Cfap410,ECM,0.5795
no-niche (type+depth),Cfap410,Endolysosomal,0.9045
no-niche (type+depth),Cfap410,Mitochondrial_stress,0.7655
no-niche (type+depth),Cfap410,LRP1_signaling,0.852
